id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,room_type
34929151,Beautiful cozy apartment in Madrid,171926345,AlejandraSH,Chamartín,El Viso,40,-3,300,2,0,01/01/2019,0,6,0,Entire home/apt
34929765,Céntrico estudio Palacio Real,26571703,Carlos,Centro,Palacio,40,-3,220,1,0,01/01/2019,0,1,87,Entire home/apt
34929784,PISO EN PUERTA DEL SOL,263213691,Jesus,Centro,Sol,40,-3,79,2,13,08/09/2019,3.36,1,288,Entire home/apt
34929903,Elegant and classy flat in the heart of Madrid.,31844633,Alfred,Centro,Sol,40,-3,300,2,7,14/09/2019,2.04,1,151,Entire home/apt
34930020,Room near Madrid rio,6205683,Mercedes&Chris,Carabanchel,Comillas,40,-3,36,2,7,15/09/2019,1.91,2,33,Private room
34930596,Studio for 4PAX -CHUECA-BARBIERI- 2-3,257555291,Pedro,Centro,Justicia,40,-3,95,3,16,08/09/2019,4.66,7,102,Entire home/apt
34931266,One bed room apartment in chamartin,254328037,Haitham,Chamartín,Nueva España,40,-3,200,7,1,29/06/2019,0.36,1,88,Entire home/apt
34932473,Habitación privada - Las Ventas,262269029,Tiago,Salamanca,Guindalera,40,-3,195,1,0,01/01/2019,0,1,201,Private room
34932680,Unique&Exclusive Madrid Double Room,262219491,Daniel,Ciudad Lineal,Ventas,40,-3,45,1,1,15/09/2019,1,4,358,Private room
34932822,Room for Champions league final,30825228,Juan,Tetuán,Cuatro Caminos,40,-3,500,1,0,01/01/2019,0,1,88,Private room
34933116,FINAL CHAMPIONS LEAGUE MADRID,263232278,María Ángeles,San Blas - Canillejas,Simancas,40,-3,2000,2,0,01/01/2019,0,1,365,Private room
34933122,Double bedroom in the city centre.,263221182,Marta,Centro,Universidad,40,-3,150,1,0,01/01/2019,0,1,140,Private room
34933732,GREAT FLAT WITH 4 DOUBLE ROOMS IN CITY CENTER,263238396,Javi,Moncloa - Aravaca,Argüelles,40,-3,1100,1,0,01/01/2019,0,1,365,Entire home/apt
34933851,WANDA CHAMPIONS LEAGUE,262181767,Laura,San Blas - Canillejas,Rosas,40,-3,700,2,0,01/01/2019,0,2,180,Entire home/apt
34934158,Your home for the UCL final,157623673,Daniel,Moncloa - Aravaca,Argüelles,40,-3,400,1,0,01/01/2019,0,1,89,Entire home/apt
34934170,Cozy 1 bedroom 2 mins from Centre of Madrid,96126537,Gowtham,Centro,Palacio,40,-3,150,2,0,01/01/2019,0,1,87,Entire home/apt
34936272,Enjoy a lovely warm staying in Madrid,263254372,Isabella,Ciudad Lineal,Pueblo Nuevo,40,-3,35,1,2,20/06/2019,0.63,1,0,Private room
34936361,FINAL CHAMPIONS LEAGUE WANDA METROPOLITANO,247185641,Sara,San Blas - Canillejas,Rosas,40,-3,400,1,0,01/01/2019,0,1,365,Private room
34936380,"Habitacion privada, Departamento en Chueca",17654686,Victor,Centro,Justicia,40,-3,20,1,1,15/06/2019,0.31,1,261,Private room
34936451,nuevo loft,186478728,Apartaturis Madrid S.L,Puente de Vallecas,Palomeras Bajas,40,-3,44,2,7,09/09/2019,1.91,1,259,Entire home/apt
34936722,Flat Champions League Final¡¡¡,263257002,Daniel,Chamberí,Vallehermoso,40,-3,900,1,0,01/01/2019,0,1,322,Private room
34937432,Champions league,170741408,Yunes,San Blas - Canillejas,Simancas,40,-3,800,1,0,01/01/2019,0,3,90,Private room
34938374,Two rooms the final champions,132950534,Andrea,San Blas - Canillejas,Canillejas,40,-3,500,1,0,01/01/2019,0,2,365,Private room
34938744,COZY APARTMENT IN  THE CENTER OF MADRID,156231177,Marta,Centro,Justicia,40,-3,120,2,0,01/01/2019,0,1,361,Entire home/apt
34938882,Madrid Hearts relax,263188887,Carmendo,Latina,Puerta del Angel,40,-3,19,5,0,01/01/2019,0,1,0,Private room
34938995,Brand-new cosy appartment in the heart of Madrid,263272668,Olga,Arganzuela,Delicias,40,-3,107,1,0,01/01/2019,0,1,347,Entire home/apt
34939782,Summer in Madrid! A new big house. Close to center,2636191,Elena,Chamartín,Prosperidad,40,-3,250,2,2,14/07/2019,0.55,1,174,Entire home/apt
34940134,Estudio cercano Pza Castilla con plaza de garaje.,263241459,Ciprian,Tetuán,Valdeacederas,40,-3,75,1,2,01/06/2019,0.52,1,0,Entire home/apt
34940255,Champions league bedroom with private bathroom,223382750,Sergio,Tetuán,Cuatro Caminos,40,-3,360,1,0,01/01/2019,0,2,179,Private room
34940468,Room available for cup final in Europe,62823528,David,Villaverde,Los Rosales,40,-3,900,1,0,01/01/2019,0,1,365,Private room
34940886,Apartamento acogedor en pleno barrio de las letras,263283712,Liliana,Centro,Cortes,40,-3,130,2,2,09/09/2019,0.8,1,30,Entire home/apt
34941329,Wanda/Aeropuerto/ifema Hortaleza,263286265,Mochu Alvaro,Hortaleza,Canillas,40,-3,280,1,0,01/01/2019,0,1,88,Private room
