price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,room_type
105,1,68,1.16,2,324,Entire home/apt
48,3,202,2.56,1,215,Entire home/apt
95,1,236,3.13,5,281,Entire home/apt
26,2,189,2.41,2,55,Private room
82,3,109,1.4,5,0,Entire home/apt
70,3,29,0.4,1,349,Entire home/apt
59,2,262,3.33,1,277,Entire home/apt
79,2,25,0.34,1,188,Entire home/apt
90,3,135,1.84,9,271,Entire home/apt
350,5,79,1,1,266,Entire home/apt
40,3,15,0.28,2,0,Shared room
25,2,9,0.12,2,30,Private room
35,1,1,0.02,1,260,Private room
185,3,7,0.09,12,100,Entire home/apt
60,30,1,0.04,12,341,Entire home/apt
205,3,16,0.2,12,321,Entire home/apt
27,4,19,0.25,1,79,Private room
60,1,308,3.92,1,304,Entire home/apt
65,3,19,0.24,1,0,Entire home/apt
55,1,136,1.73,9,0,Entire home/apt
90,2,239,3.03,9,292,Entire home/apt
198,300,0,0,1,365,Entire home/apt
44,2,82,2.86,1,324,Private room
18,7,30,0.41,1,244,Private room
70,2,366,4.64,2,334,Entire home/apt
85,4,237,3.24,1,63,Entire home/apt
69,3,157,2.02,1,308,Entire home/apt
74,1,281,3.58,62,314,Entire home/apt
33,2,9,0.12,1,261,Private room
37,2,95,1.21,3,317,Private room
30,2,5,0.07,1,356,Private room
30,4,41,0.85,1,352,Private room
30,7,0,0,2,16,Private room
80,100,43,0.71,1,90,Entire home/apt
65,2,397,5.06,1,32,Entire home/apt
42,7,2,0.07,1,201,Entire home/apt
94,2,9,0.12,10,326,Entire home/apt
85,2,0,0,1,0,Private room
46,2,206,2.81,1,267,Entire home/apt
30,3,32,0.49,2,107,Private room
30,3,115,1.49,3,199,Private room
70,3,55,0.78,4,283,Entire home/apt
80,2,160,2.11,1,295,Entire home/apt
24,1,13,0.17,1,12,Private room
30,2,14,0.74,1,0,Private room
70,2,203,2.61,1,0,Entire home/apt
101,3,161,2.09,1,183,Entire home/apt
34,2,157,2.15,1,47,Private room
22,2,3,0.05,1,235,Private room
75,1,413,5.29,62,308,Entire home/apt
65,1,402,5.24,62,310,Entire home/apt
45,2,323,4.2,2,292,Entire home/apt
